ticker,company name,Company,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off
INTC,Intel Corporation,Intel,Semiconductors,"Intel Corp is the world's largest chipmaker. It engaged in making a semiconductor chip. It designs and manufactures integrated digital technology products like integrated circuits, for industries such as computing and communications.",http://www.intel.com,INTC.png,Robert H. Swan,Nasdaq Global Select,2.25484E+11,Technology,Technology,Semiconductors,,SF Bay Area,Hardware,201,,12/6/2022,https://www.crn.com/news/computing/intel-begins-layoffs-in-california-voluntary-unpaid-leave-program,12,Post-IPO,12/30/2022 15:57,United States,Unknown
INTU,Intuit Inc.,Intuit,Application Software,"Intuit Inc creates business and financial management solutions for small businesses, consumers, and accounting professionals. The company's products and services include QuickBooks and TurboTax.",http://www.intuit.com,INTU.png,Sasan K. Goodarzi,Nasdaq Global Select,57480573480,Technology,Technology,Software - Application,Application Software,SF Bay Area,Finance,715,0.07,6/22/2020,https://intuitblog.com/news-social/a-message-from-intuit-ceo-sasan-goodarzi-to-intuit-employees/,18,Post-IPO,6/22/2020 22:14,United States,Unknown
IRBT,iRobot Corporation,iRobot,Computer Hardware,"iRobot Corp designs and sells small, artificially intelligent consumer robots. The company's most successful products include its automatic Roomba vacuum and the floor-mopping Braava.",http://www.irobot.com,IRBT.png,Colin M. Angle,Nasdaq Global Select,2510080664,Technology,Technology,Consumer Electronics,Computer Hardware,Boston,Consumer,85,0.07,2/13/2023,https://www.cnbc.com/2023/02/13/irobot-layoffs-7percent-of-workforce-at-roomba-maker-let-go.html,30,Acquired,2/14/2023 15:06,United States,Unknown
IRBT,iRobot Corporation,iRobot,Computer Hardware,"iRobot Corp designs and sells small, artificially intelligent consumer robots. The company's most successful products include its automatic Roomba vacuum and the floor-mopping Braava.",http://www.irobot.com,IRBT.png,Colin M. Angle,Nasdaq Global Select,2510080664,Technology,Technology,Consumer Electronics,Computer Hardware,Boston,Consumer,140,0.1,8/5/2022,https://www.geekwire.com/2022/amazon-to-acquire-roomba-maker-irobot-for-1-7-billion/,30,Acquired,8/5/2022 19:28,United States,Unknown
JNCE,Jounce Therapeutics Inc.,Jounce Therapeutics,Biotechnology,Jounce Therapeutics Inc is a clinical stage immunotherapy company. It is engaged in transforming the treatment pf cancer by developing therapies that enable the immune system to attack tumors and provide long-lasting benefits to patients.,http://www.jouncetx.com,,Richard Murray,Nasdaq Global Select,150422277,Healthcare,Healthcare,Biotechnology,,Boston,Healthcare,,0.57,2/22/2023,https://www.globenewswire.com/news-release/2023/02/22/2613789/0/en/Jounce-Therapeutics-Announces-Restructuring.html,194,Acquired,2/26/2023 2:09,United States,Unknown
LPSN,LivePerson Inc.,LivePerson,Application Software,"LivePerson Inc along with its subsidiaries provides digital engagement solutions offering a cloud-based platform which enables businesses to proactively connect with consumers through chat, voice, and content delivery.",http://www.liveperson.com,LPSN.png,Robert P. Locascio,Nasdaq Global Select,1538464470,Technology,Technology,Software - Infrastructure,Application Software,New York City,Support,193,0.11,9/15/2022,Internal memo,42,Post-IPO,9/16/2022 3:13,United States,Unknown
LPSN,LivePerson Inc.,LivePerson,Application Software,"LivePerson Inc along with its subsidiaries provides digital engagement solutions offering a cloud-based platform which enables businesses to proactively connect with consumers through chat, voice, and content delivery.",http://www.liveperson.com,LPSN.png,Robert P. Locascio,Nasdaq Global Select,1538464470,Technology,Technology,Software - Infrastructure,Application Software,New York City,Support,30,,11/1/2020,https://en.globes.co.il/en/article-liveperson-to-lay-off-30-in-israel-1001347824#,42,Post-IPO,1/21/2023 22:51,United States,Unknown
LRCX,Lam Research Corporation,Lam Research,Semiconductors,Lam Research Corp functions in the semiconductor industry. It develops and sells semiconductor processing systems that are used in the fabrication of integrated circuits.,http://www.lamrc.com,LRCX.png,Timothy M. Archer,Nasdaq Global Select,26375015557,Technology,Technology,Semiconductor Equipment & Materials,Semiconductors,SF Bay Area,Hardware,1300,0.07,1/25/2023,https://www.bloomberg.com/news/articles/2023-01-25/lam-research-to-cut-7-of-workforce-after-forecast-disappoints?leadSource=uverify%20wall,,Post-IPO,2/1/2023 17:05,United States,Unknown
MSFT,Microsoft Corporation,Microsoft,Application Software,"Microsoft Corp is a technology company. It develop, license, and support a wide range of software products and services. Its business is organized into three segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing.",http://www.microsoft.com,MSFT.png,Satya Nadella,Nasdaq Global Select,8.16324E+11,Technology,Technology,Software - Infrastructure,Application Software,Seattle,Other,10000,0.05,1/18/2023,https://www.usatoday.com/story/money/2023/01/18/microsoft-layoffs-10000-employees-stock/11074235002/,1,Post-IPO,1/18/2023 2:05,United States,Unknown
NATI,National Instruments Corporation,National Instruments,Application Software,"National Instruments Corp designs, manufactures & sells computer-based virtual instrumentation software & hardware products to scientists and engineers. Its products include embedded control and monitoring hardware, NI LabVIEW, and NI LabWindows/CVI.",http://www.ni.com,NATI.png,Alexander M. Davern,Nasdaq Global Select,5959466730,Technology,Technology,Software - Application,Application Software,Austin,Hardware,,0.04,1/31/2023,https://www.cmlviz.com/stocks/NATI/news/b/2023/01/31/national-instruments-corp-expected-to-reduce-ni-s-worldwide-headcount-by-approximately-4-during-2023,,Post-IPO,2/4/2023 23:05,United States,Unknown
